"Lower" "Upper"
"SRR11904128" 2018.08767123288 2018.08767123288
"SRR9985790" 2017 2018
"SRR8833651" 2018.41643835616 2018.41643835616
"SRR8833374" 2018.24931506849 2018.24931506849
"SRR8833590" 2018.00273972603 2018.00273972603
"SRR9877857" 2018.75068493151 2018.75068493151
"SRR9877867" 2018.66575342466 2018.66575342466
"SRR9985793" 2017 2018
"SRR8171930" 2018.16438356164 2018.16438356164
"SRR8172022" 2018.08767123288 2018.08767123288
"SRR8071055" 2016 2017
"SRR12612514" 2019.91506849315 2019.99726027397
"SRR8833415" 2018.24931506849 2018.24931506849
"SRR9878204" 2018.49863013699 2018.49863013699
"SRR16644309" 2019.41369863014 2019.49589041096
"SRR16999626" 2019.66301369863 2019.74794520548
"SRR11904166" 2018.91780821918 2018.91780821918
"SRR8833603" 2018.08767123288 2018.08767123288
"SRR16644594" 2019.24657534247 2019.32876712329
"SRR11904457" 2018.49863013699 2018.49863013699
"SRR16644666" 2019.41369863014 2019.49589041096
"SRR11724675" 2019.58082191781 2019.66301369863
"SRR8903346" 2018.33150684932 2018.33150684932
"SRR8071311" 2014 2015
"SRR8172073" 2018.08767123288 2018.08767123288
"GCGS0474" 2013 2014
"GCGS0305" 2001 2002
"SRR9985868" 2017 2018
"SRR11904172" 2018.83287671233 2018.83287671233
"SRR16999427" 2019.8301369863 2019.91506849315
"SRR9985934" 2017 2018
"SRR16644428" 2019.66301369863 2019.74794520548
"SRR11904228" 2018.75068493151 2018.75068493151
"SRR16999690" 2019.08493150685 2019.16164383562
"SRR11724783" 2019.58082191781 2019.66301369863
"SRR11904280" 2018.08767123288 2018.08767123288
"GCGS0348" 2012 2013
"SRR8071053" 2016 2017
"SRR8833684" 2018.16438356164 2018.16438356164
"GCGS0579" 2002 2003
"SRR11904032" 2018.33150684932 2018.33150684932
"SRR11904825" 2018.91780821918 2018.91780821918
"SRR16644388" 2019.08493150685 2019.16164383562
"SRR16644634" 2019.66301369863 2019.74794520548
"SRR16644469" 2019 2019.08493150685
"SRR11699050" 2019.32876712329 2019.41369863014
"SRR11724775" 2019.08493150685 2019.16164383562
"SRR11698908" 2019.41369863014 2019.49589041096
"SRR11904958" 2018.24931506849 2018.24931506849
"SRR8833686" 2018.16438356164 2018.16438356164
"SRR11904350" 2018.66575342466 2018.66575342466
"GCGS0357" 2001 2002
"GCGS0526" 2001 2002
"SRR8833529" 2018.00273972603 2018.00273972603
"SRR11698909" 2019.41369863014 2019.49589041096
"SRR11698906" 2019.41369863014 2019.49589041096
"SRR12612859" 2019.8301369863 2019.91506849315
"SRR16999628" 2019.66301369863 2019.74794520548
"SRR9985759" 2017 2018
"SRR11904061" 2018.24931506849 2018.24931506849
"SRR11904382" 2018.66575342466 2018.66575342466
"SRR11904146" 2018.08767123288 2018.08767123288
"SRR11904435" 2018.58356164384 2018.58356164384
"SRR8071316" 2016 2017
"SRR12612390" 2019.8301369863 2019.91506849315
"GCGS0843" 2004 2005
"SRR9985767" 2017 2018
"SRR11903950" 2018.41643835616 2018.41643835616
"SRR16644545" 2019.58082191781 2019.66301369863
"SRR16999332" 2019.58082191781 2019.66301369863
"SRR16999595" 2019.74794520548 2019.8301369863
"SRR8071271" 2015 2016
"SRR11728093" 2019.8301369863 2019.91506849315
"SRR11724791" 2019.74794520548 2019.8301369863
"SRR12611583" 2019.32876712329 2019.41369863014
"SRR8071134" 2015 2016
"SRR9985742" 2017 2018
"SRR9985809" 2017 2018
"SRR5990361" 2014 2015
"SRR9985762" 2017 2018
"SRR11904417" 2018.58356164384 2018.58356164384
"SRR11903971" 2018.33150684932 2018.33150684932
"SRR11903992" 2018.24931506849 2018.24931506849
"SRR11904121" 2018.16438356164 2018.16438356164
"SRR16644130" 2019.58082191781 2019.66301369863
"SRR16644438" 2019.66301369863 2019.74794520548
"SRR16644051" 2019.16164383562 2019.24657534247
"SRR16644441" 2019.66301369863 2019.74794520548
"SRR16644509" 2019.41369863014 2019.49589041096
"SRR16999505" 2019.74794520548 2019.8301369863
"SRR8071334" 2015 2016
"SRR16644348" 2019.08493150685 2019.16164383562
"SRR16644363" 2019.32876712329 2019.41369863014
"SRR16644507" 2019.41369863014 2019.49589041096
"GCGS0307" 2002 2003
"GCGS0439" 2001 2002
"SRR12612848" 2019.8301369863 2019.91506849315
"SRR9985591" 2017 2018
"SRR9985921" 2017 2018
"SRR9985748" 2017 2018
"SRR8833401" 2018.24931506849 2018.24931506849
"SRR11904671" 2018.83287671233 2018.83287671233
"SRR11904792" 2018.91780821918 2018.91780821918
"SRR11903976" 2018.33150684932 2018.33150684932
"SRR8833660" 2018.16438356164 2018.16438356164
"SRR16999495" 2019 2019.08493150685
"SRR9985963" 2017 2018
"SRR16999394" 2019.66301369863 2019.74794520548
"SRR16999398" 2019.66301369863 2019.74794520548
"SRR9985650" 2017 2018
"SRR16644251" 2019.24657534247 2019.32876712329
"SRR11903964" 2018.16438356164 2018.16438356164
"SRR11903977" 2018.33150684932 2018.33150684932
"SRR9985738" 2017 2018
"SRR11904803" 2018.91780821918 2018.91780821918
"SRR16644109" 2019.32876712329 2019.41369863014
"SRR8171984" 2018.00273972603 2018.00273972603
"SRR11903884" 2018.49863013699 2018.49863013699
"SRR11904187" 2018.83287671233 2018.83287671233
"SRR16999393" 2019.91506849315 2019.99726027397
"SRR11904475" 2018.16438356164 2018.16438356164
"SRR11904168" 2018.83287671233 2018.83287671233
"SRR8833398" 2018.24931506849 2018.24931506849
"SRR16644706" 2019.16164383562 2019.24657534247
"SRR11698954" 2019.41369863014 2019.49589041096
"SRR11904721" 2018.58356164384 2018.58356164384
"SRR16999442" 2019.91506849315 2019.99726027397
"SRR11903978" 2018.33150684932 2018.33150684932
"SRR16644452" 2019.41369863014 2019.49589041096
"SRR11904734" 2018.91780821918 2018.91780821918
"SRR16644061" 2019 2019.08493150685
"SRR8071289" 2015 2016
"SRR11904768" 2018.08767123288 2018.08767123288
"SRR11904812" 2018.91780821918 2018.91780821918
"SRR16999469" 2019.8301369863 2019.91506849315
"SRR9877972" 2018.58356164384 2018.58356164384
"SRR16644470" 2019 2019.08493150685
"SRR16644506" 2019.41369863014 2019.49589041096
"SRR11903837" 2018.49863013699 2018.49863013699
"SRR16644329" 2019.08493150685 2019.16164383562
"SRR16644649" 2019.49589041096 2019.58082191781
"SRR11904213" 2018.75068493151 2018.75068493151
"SRR11904217" 2018.75068493151 2018.75068493151
"SRR11904225" 2018.08767123288 2018.08767123288
"SRR11904741" 2018.91780821918 2018.91780821918
"SRR16999569" 2019.91506849315 2019.99726027397
"SRR16999612" 2019.66301369863 2019.74794520548
"GCGS0245" 2001 2002
"GCGS0322" 2000 2001
"SRR9985633" 2017 2018
"SRR8833594" 2018.00273972603 2018.00273972603
"SRR11904309" 2018.75068493151 2018.75068493151
"SRR16644674" 2019.08493150685 2019.16164383562
"SRR16999624" 2019.66301369863 2019.74794520548
"SRR8071309" 2015 2016
"SRR16644148" 2019.49589041096 2019.58082191781
"SRR16644150" 2019.49589041096 2019.58082191781
"SRR5990438" 2016 2017
"SRR16644081" 2019.08493150685 2019.16164383562
"SRR16644152" 2019.49589041096 2019.58082191781
"SRR8071263" 2015 2016
"SRR11904740" 2018.91780821918 2018.91780821918
"SRR16644005" 2019.16164383562 2019.24657534247
"SRR16644158" 2019.32876712329 2019.41369863014
"SRR16643990" 2019.16164383562 2019.24657534247
"SRR8071163" 2014 2015
"SRR8071341" 2014 2015
"SRR8833673" 2018.24931506849 2018.24931506849
"SRR8071265" 2015 2016
"SRR9878092" 2018.58356164384 2018.58356164384
"SRR11724849" 2019.66301369863 2019.74794520548
"GCGS0301" 2003 2004
"GCGS0520" 2003 2004
"GCGS0519" 2003 2004
"GCGS0350" 2012 2013
"SRR9985845" 2017 2018
"SRR11904185" 2018.83287671233 2018.83287671233
"SRR11904524" 2018.41643835616 2018.41643835616
"SRR8833599" 2018.16438356164 2018.16438356164
"SRR16643913" 2019 2019.08493150685
"SRR9985869" 2017 2018
"SRR8071371" 2014 2015
"SRR9877701" 2018.49863013699 2018.49863013699
"SRR9878309" 2018.91780821918 2018.91780821918
"SRR9878313" 2018.91780821918 2018.91780821918
"SRR16643898" 2019.24657534247 2019.32876712329
"SRR16644650" 2019.49589041096 2019.58082191781
"GCGS0479" 2012 2013
"SRR16999717" 2019.8301369863 2019.91506849315
"SRR11904393" 2018.58356164384 2018.58356164384
"SRR9985936" 2017 2018
"SRR16643900" 2019.24657534247 2019.32876712329
"SRR16644031" 2019.74794520548 2019.8301369863
"SRR11904202" 2018.75068493151 2018.75068493151
"SRR16644044" 2019.74794520548 2019.8301369863
"SRR16644477" 2019.49589041096 2019.58082191781
"SRR16644533" 2019.58082191781 2019.66301369863
"SRR16644264" 2019.49589041096 2019.58082191781
"SRR16644343" 2019.16164383562 2019.24657534247
"SRR16999557" 2019.8301369863 2019.91506849315
"SRR11904090" 2018.00273972603 2018.00273972603
"SRR16643987" 2019.16164383562 2019.24657534247
"SRR16644601" 2019.24657534247 2019.32876712329
"SRR16999471" 2019.8301369863 2019.91506849315
"SRR16999518" 2019.8301369863 2019.91506849315
"SRR8172348" 2018.16438356164 2018.16438356164
"SRR8172349" 2018.16438356164 2018.16438356164
"SRR11698661" 2019.58082191781 2019.66301369863
"SRR11698575" 2019.08493150685 2019.16164383562
"SRR11904257" 2018.83287671233 2018.83287671233
"SRR16644513" 2019.41369863014 2019.49589041096
"SRR4048860" 2016 2017
"SRR8071179" 2016 2017
"SRR9985643" 2017 2018
"SRR16644705" 2019 2019.08493150685
"SRR11904415" 2018.58356164384 2018.58356164384
"SRR16644069" 2019.16164383562 2019.24657534247
"SRR11904099" 2018.16438356164 2018.16438356164
"SRR16644383" 2019 2019.08493150685
"SRR16644605" 2019.24657534247 2019.32876712329
"SRR8172345" 2018.16438356164 2018.16438356164
"SRR16999657" 2019.41369863014 2019.49589041096
"GCGS0554" 2013 2014
"SRR16644133" 2019 2019.08493150685
"SRR11698400" 2019.41369863014 2019.49589041096
"SRR11904692" 2018.83287671233 2018.83287671233
"SRR11904233" 2018.83287671233 2018.83287671233
"SRR8903161" 2018.33150684932 2018.33150684932
"SRR16644177" 2019.32876712329 2019.41369863014
"GCGS0425" 2013 2014
"SRR9985816" 2017 2018
"SRR9985847" 2017 2018
"SRR9985971" 2017 2018
"SRR11904438" 2018.58356164384 2018.58356164384
"SRR16644078" 2019.08493150685 2019.16164383562
"SRR16644060" 2019 2019.08493150685
"SRR11904031" 2018.41643835616 2018.41643835616
"SRR11904189" 2018.83287671233 2018.83287671233
"SRR11904091" 2018.16438356164 2018.16438356164
"SRR11904951" 2018.33150684932 2018.33150684932
"SRR9985833" 2017 2018
"SRR11698603" 2019.08493150685 2019.16164383562
"SRR17188740" 2019.91506849315 2019.99726027397
"SRR5990364" 2014 2015
"SRR8071255" 2016 2017
"SRR9985909" 2017 2018
"SRR8172046" 2018.00273972603 2018.00273972603
"GCGS0462" 2002 2003
"GCGS0501" 2000 2001
"SRR16643896" 2019.24657534247 2019.32876712329
"SRR16999698" 2019.91506849315 2019.99726027397
"SRR16644135" 2019.58082191781 2019.66301369863
"SRR16644514" 2019.41369863014 2019.49589041096
"SRR16644293" 2019.49589041096 2019.58082191781
"GCGS0830" 2001 2002
"GCGS1029" 2007 2008
"GCGS0599" 2004 2005
"GCGS0008" 2009 2010
"GCGS0180" 2009 2010
"GCGS0186" 2009 2010
"GCGS0090" 2009 2010
"GCGS0216" 2009 2010
"GCGS0396" 2012 2013
"GCGS0331" 2011 2012
"GCGS0346" 2011 2012
"GCGS0383" 2011 2012
"SRR16644194" 2019.24657534247 2019.32876712329
"SRR11903932" 2018.41643835616 2018.41643835616
"SRR11904007" 2018.33150684932 2018.33150684932
"SRR11903933" 2018.41643835616 2018.41643835616
"SRR11724768" 2019.66301369863 2019.74794520548
"SRR9877737" 2018.83287671233 2018.83287671233
"GCGS0730" 2011 2012
"GCGS0469" 2011 2012
"GCGS0667" 2011 2012
"GCGS0666" 2011 2012
"GCGS0494" 2011 2012
"GCGS0603" 2011 2012
"GCGS0188" 2009 2010
"GCGS0212" 2009 2010
"GCGS0398" 2012 2013
"GCGS0334" 2011 2012
"GCGS0210" 2009 2010
"GCGS0321" 2011 2012
"SRR16999401" 2019.91506849315 2019.99726027397
"SRR9985585" 2017 2018
"SRR11904663" 2018.08767123288 2018.08767123288
"SRR16999600" 2019.16164383562 2019.24657534247
"SRR9985700" 2017 2018
"SRR9985602" 2017 2018
"SRR11904441" 2018.58356164384 2018.58356164384
"SRR11903908" 2018.00273972603 2018.00273972603
"SRR8071385" 2016 2017
"SRR11904804" 2018.91780821918 2018.91780821918
"SRR16999616" 2019.66301369863 2019.74794520548
"SRR16999618" 2019.66301369863 2019.74794520548
"SRR11904863" 2018.08767123288 2018.08767123288
"GCGS0495" 2012 2013
"GCGS0739" 2011 2012
"GCGS0764" 2011 2012
"GCGS0146" 2009 2010
"SRR16644551" 2019 2019.08493150685
"SRR16999542" 2019.66301369863 2019.74794520548
"SRR16644595" 2019.24657534247 2019.32876712329
"SRR9985589" 2017 2018
"SRR16644353" 2019.08493150685 2019.16164383562
"SRR8071395" 2016 2017
"SRR11904122" 2018.16438356164 2018.16438356164
"SRR11904670" 2018.16438356164 2018.16438356164
"SRR9985638" 2017 2018
"SRR9985939" 2017 2018
"SRR11904461" 2018.49863013699 2018.49863013699
"SRR11903833" 2018.49863013699 2018.49863013699
"SRR16644142" 2019.49589041096 2019.58082191781
"SRR16999701" 2019.74794520548 2019.8301369863
"SRR11903945" 2018.41643835616 2018.41643835616
"SRR11904093" 2018.16438356164 2018.16438356164
"SRR11903974" 2018.00273972603 2018.00273972603
"SRR16644024" 2019 2019.08493150685
"SRR11904399" 2018.58356164384 2018.58356164384
"SRR16644646" 2019.49589041096 2019.58082191781
"SRR8071077" 2015 2016
"SRR9985668" 2017 2018
"SRR11904370" 2018.66575342466 2018.66575342466
"SRR11903941" 2018.00273972603 2018.00273972603
"SRR11904053" 2018.24931506849 2018.24931506849
"SRR11904191" 2018.08767123288 2018.08767123288
"SRR11904938" 2018.83287671233 2018.83287671233
"SRR8071357" 2015 2016
"SRR8903338" 2018.16438356164 2018.16438356164
"SRR16644153" 2019.49589041096 2019.58082191781
"SRR16644670" 2019.32876712329 2019.41369863014
"SRR16644490" 2019.08493150685 2019.16164383562
"SRR9985796" 2017 2018
"SRR8833535" 2018.16438356164 2018.16438356164
"SRR11903953" 2018.41643835616 2018.41643835616
"SRR11904378" 2018.66575342466 2018.66575342466
"SRR11904815" 2018.91780821918 2018.91780821918
"SRR16999435" 2019.91506849315 2019.99726027397
"SRR11903956" 2018.41643835616 2018.41643835616
"SRR11904818" 2018.91780821918 2018.91780821918
"SRR16644653" 2019.49589041096 2019.58082191781
"SRR16999437" 2019.91506849315 2019.99726027397
"SRR16644105" 2019.41369863014 2019.49589041096
"SRR16644656" 2019.49589041096 2019.58082191781
"SRR16999714" 2019.74794520548 2019.8301369863
"SRR16644712" 2019.16164383562 2019.24657534247
"SRR8071256" 2016 2017
"SRR8071337" 2016 2017
"SRR16644459" 2019.41369863014 2019.49589041096
"SRR8071356" 2015 2016
"SRR8071120" 2014 2015
"SRR8071391" 2016 2017
"GCGS0514" 2011 2012
"SRR9985928" 2017 2018
"SRR11724996" 2019.08493150685 2019.16164383562
"SRR11904547" 2018.33150684932 2018.33150684932
"SRR9878308" 2018.58356164384 2018.58356164384
"SRR11904678" 2018.08767123288 2018.08767123288
"SRR16643960" 2019.49589041096 2019.58082191781
"SRR11903914" 2018.33150684932 2018.33150684932
"SRR9878022" 2018.58356164384 2018.58356164384
"SRR11724707" 2019.49589041096 2019.58082191781
"SRR11904959" 2018.24931506849 2018.24931506849
"SRR11724658" 2019.49589041096 2019.58082191781
"SRR16999675" 2019.8301369863 2019.91506849315
"SRR16999677" 2019.8301369863 2019.91506849315
"SRR8071186" 2015 2016
"SRR9985593" 2017 2018
"GCGS0112" 2009 2010
"GCGS0208" 2009 2010
"GCGS0498" 2002 2003
"GCGS0504" 2003 2004
"GCGS0652" 2004 2005
"GCGS0515" 2011 2012
"GCGS0279" 2003 2004
"GCGS0369" 2011 2012
"GCGS0184" 2009 2010
"GCGS0517" 2011 2012
"GCGS0370" 2011 2012
"SRR11725121" 2019.24657534247 2019.32876712329
"GCGS0154" 2009 2010
"SRR8171876" 2017 2018
"SRR16644317" 2019.41369863014 2019.49589041096
"SRR8833517" 2018.24931506849 2018.24931506849
"SRR8171995" 2017 2018
"SRR11904869" 2018.75068493151 2018.75068493151
"SRR11904912" 2018.91780821918 2018.91780821918
"SRR16644443" 2019 2019.08493150685
"SRR12612408" 2019.91506849315 2019.99726027397
"SRR16644196" 2019.24657534247 2019.32876712329
"SRR16999330" 2019.16164383562 2019.24657534247
"SRR16999526" 2019.66301369863 2019.74794520548
"SRR16644365" 2019.32876712329 2019.41369863014
"SRR8903098" 2018.00273972603 2018.00273972603
"SRR16999710" 2019.74794520548 2019.8301369863
"SRR9985588" 2017 2018
"SRR8071118" 2015 2016
"SRR9985590" 2017 2018
"SRR11725080" 2019.58082191781 2019.66301369863
"SRR9985709" 2017 2018
"SRR16999610" 2019.66301369863 2019.74794520548
"SRR8071000" 2016 2017
"SRR8070996" 2016 2017
"SRR8071413" 2016 2017
"SRR9985838" 2017 2018
"SRR5990452" 2016 2017
"SRR5990467" 2016 2017
"SRR11903882" 2018.49863013699 2018.49863013699
"SRR16644391" 2019.58082191781 2019.66301369863
"SRR8071301" 2016 2017
"SRR9985627" 2017 2018
"SRR11904135" 2018.00273972603 2018.00273972603
"SRR9985892" 2017 2018
"SRR11904883" 2018.75068493151 2018.75068493151
"SRR11903875" 2018.49863013699 2018.49863013699
"SRR16999703" 2019.74794520548 2019.8301369863
"SRR11724483" 2019.41369863014 2019.49589041096
"SRR16644494" 2019.32876712329 2019.41369863014
"SRR16644007" 2019.16164383562 2019.24657534247
"SRR16644539" 2019.58082191781 2019.66301369863
"SRR16999476" 2019.8301369863 2019.91506849315
"SRR16999755" 2019.91506849315 2019.99726027397
"SRR16999445" 2019.91506849315 2019.99726027397
"SRR11904000" 2018.33150684932 2018.33150684932
"SRR11904640" 2018.41643835616 2018.41643835616
"SRR16644207" 2019.32876712329 2019.41369863014
"SRR16999365" 2019.74794520548 2019.8301369863
"SRR9985672" 2017 2018
"SRR9985855" 2017 2018
"SRR16999599" 2019.74794520548 2019.8301369863
"SRR16999750" 2019.91506849315 2019.99726027397
"SRR16644290" 2019.41369863014 2019.49589041096
"SRR9985906" 2017 2018
"SRR11903947" 2018.41643835616 2018.41643835616
"SRR11904731" 2018.83287671233 2018.83287671233
"SRR16644559" 2019 2019.08493150685
"SRR16644305" 2019.41369863014 2019.49589041096
"SRR16644701" 2019.16164383562 2019.24657534247
"SRR16999594" 2019.74794520548 2019.8301369863
"SRR8071236" 2015 2016
"SRR8071362" 2015 2016
"SRR8071257" 2015 2016
"SRR8071363" 2015 2016
"SRR16999607" 2019.66301369863 2019.74794520548
"SRR16999608" 2019.66301369863 2019.74794520548
"SRR9985873" 2017 2018
"SRR9985888" 2017 2018
"SRR11904153" 2018.91780821918 2018.91780821918
"SRR11904175" 2018.83287671233 2018.83287671233
"SRR11725114" 2019.58082191781 2019.66301369863
"SRR16644297" 2019.49589041096 2019.58082191781
"SRR16644580" 2019.41369863014 2019.49589041096
"SRR16999409" 2019.91506849315 2019.99726027397
"SRR16999421" 2019.8301369863 2019.91506849315
"SRR16999602" 2019.66301369863 2019.74794520548
"SRR11904232" 2018.83287671233 2018.83287671233
"SRR8079751" 2016 2017
"SRR5235186" 2016 2017
"SRR11904668" 2018.08767123288 2018.08767123288
"SRR16643905" 2019.16164383562 2019.24657534247
"SRR16643991" 2019.16164383562 2019.24657534247
"SRR11904247" 2018.08767123288 2018.08767123288
"SRR16643968" 2019.49589041096 2019.58082191781
"SRR12612409" 2019.91506849315 2019.99726027397
"SRR11903913" 2018.33150684932 2018.33150684932
"SRR16643969" 2019.32876712329 2019.41369863014
"SRR16644259" 2019.49589041096 2019.58082191781
"SRR16644445" 2019.58082191781 2019.66301369863
"SRR16644446" 2019.58082191781 2019.66301369863
"SRR16999432" 2019.8301369863 2019.91506849315
"SRR16999511" 2019.74794520548 2019.8301369863
"SRR16999752" 2019.91506849315 2019.99726027397
"SRR16999376" 2019.74794520548 2019.8301369863
"SRR11724273" 2019.74794520548 2019.8301369863
"SRR8172043" 2018.00273972603 2018.00273972603
"SRR16644714" 2019.16164383562 2019.24657534247
"SRR16644720" 2019.16164383562 2019.24657534247
"SRR11724448" 2019.58082191781 2019.66301369863
"SRR11903935" 2018.41643835616 2018.41643835616
"SRR16644106" 2019.32876712329 2019.41369863014
"SRR16999481" 2019.8301369863 2019.91506849315
"SRR16644108" 2019.32876712329 2019.41369863014
"SRR11904439" 2018.58356164384 2018.58356164384
"SRR11904388" 2018.58356164384 2018.58356164384
"SRR11904850" 2018.75068493151 2018.75068493151
"SRR12612477" 2019.66301369863 2019.74794520548
"SRR11904299" 2018.75068493151 2018.75068493151
"SRR16644347" 2019.16164383562 2019.24657534247
"SRR16643914" 2019.24657534247 2019.32876712329
"SRR16644557" 2019.74794520548 2019.8301369863
"SRR11904304" 2018.75068493151 2018.75068493151
"SRR8903172" 2018.41643835616 2018.41643835616
"SRR16999741" 2019.91506849315 2019.99726027397
"SRR16644325" 2019.16164383562 2019.24657534247
"SRR11904693" 2018.83287671233 2018.83287671233
"SRR16644315" 2019.41369863014 2019.49589041096
"SRR8903198" 2018.33150684932 2018.33150684932
"SRR9985856" 2017 2018
"SRR16644682" 2019.32876712329 2019.41369863014
"SRR8172353" 2017 2018
"SRR16999371" 2019.74794520548 2019.8301369863
"SRR16643937" 2019.41369863014 2019.49589041096
"SRR16999405" 2019.91506849315 2019.99726027397
"SRR16644681" 2019.32876712329 2019.41369863014
"SRR16644137" 2019.08493150685 2019.16164383562
"SRR16999380" 2019.74794520548 2019.8301369863
"SRR11904494" 2018.24931506849 2018.24931506849
"SRR11903982" 2018.24931506849 2018.24931506849
"SRR16643981" 2019.49589041096 2019.58082191781
"SRR11904204" 2018.75068493151 2018.75068493151
"SRR9878156" 2018.58356164384 2018.58356164384
"SRR11904497" 2018.24931506849 2018.24931506849
"SRR16644129" 2019.58082191781 2019.66301369863
"SRR16644296" 2019.49589041096 2019.58082191781
"SRR9985583" 2017 2018
"SRR9985879" 2017 2018
"SRR8833516" 2018.24931506849 2018.24931506849
"SRR11904022" 2018.33150684932 2018.33150684932
"SRR11904729" 2018.83287671233 2018.83287671233
"SRR11904730" 2018.83287671233 2018.83287671233
"SRR11904732" 2018.83287671233 2018.83287671233
"SRR16643989" 2019.16164383562 2019.24657534247
"SRR16644561" 2019 2019.08493150685
"SRR16644543" 2019.58082191781 2019.66301369863
"SRR16644004" 2019.16164383562 2019.24657534247
"SRR11904580" 2018.49863013699 2018.49863013699
"SRR16999718" 2019.8301369863 2019.91506849315
"SRR11904048" 2018.24931506849 2018.24931506849
"SRR11904351" 2018.66575342466 2018.66575342466
"SRR16644517" 2019.58082191781 2019.66301369863
"SRR16644403" 2019.58082191781 2019.66301369863
"SRR16644292" 2019.41369863014 2019.49589041096
"SRR16644497" 2019.32876712329 2019.41369863014
"SRR11903937" 2018.41643835616 2018.41643835616
"SRR11904020" 2018.33150684932 2018.33150684932
"SRR11904052" 2018.00273972603 2018.00273972603
"SRR11904790" 2018.91780821918 2018.91780821918
"SRR16644121" 2019.32876712329 2019.41369863014
"SRR11904023" 2018.33150684932 2018.33150684932
"SRR11904119" 2018.16438356164 2018.16438356164
"SRR11904922" 2018.91780821918 2018.91780821918
"SRR11904306" 2018.75068493151 2018.75068493151
"SRR16644270" 2019.58082191781 2019.66301369863
"SRR16643998" 2019 2019.08493150685
"SRR16644581" 2019.41369863014 2019.49589041096
"SRR12612594" 2019.74794520548 2019.8301369863
"SRR11904811" 2018.91780821918 2018.91780821918
"SRR12612299" 2019.91506849315 2019.99726027397
"SRR16643964" 2019.49589041096 2019.58082191781
"SRR16643944" 2019.58082191781 2019.66301369863
"SRR16643961" 2019.49589041096 2019.58082191781
"SRR17188732" 2019.91506849315 2019.99726027397
"SRR16644667" 2019.41369863014 2019.49589041096
"SRR11904634" 2018.16438356164 2018.16438356164
"SRR11904627" 2018.83287671233 2018.83287671233
"SRR11903834" 2018.49863013699 2018.49863013699
"SRR16644550" 2019 2019.08493150685
"SRR9985962" 2017 2018
"SRR11904638" 2018.83287671233 2018.83287671233
"SRR16644175" 2019.32876712329 2019.41369863014
"SRR17188739" 2019.74794520548 2019.8301369863
"SRR16644600" 2019.24657534247 2019.32876712329
"SRR16999615" 2019.66301369863 2019.74794520548
"SRR8172045" 2018.00273972603 2018.00273972603
"SRR16644436" 2019.66301369863 2019.74794520548
"SRR9985822" 2017 2018
"SRR5198487" 2016 2017
"SRR11903939" 2018.41643835616 2018.41643835616
"SRR16643911" 2019.24657534247 2019.32876712329
"SRR11904357" 2018.66575342466 2018.66575342466
"SRR11904366" 2018.66575342466 2018.66575342466
"SRR11904884" 2018.75068493151 2018.75068493151
"SRR11904621" 2018.58356164384 2018.58356164384
"SRR11904551" 2018.83287671233 2018.83287671233
"SRR9985604" 2017 2018
"SRR11903840" 2018.49863013699 2018.49863013699
"SRR16643943" 2019.66301369863 2019.74794520548
"SRR11904736" 2018.91780821918 2018.91780821918
"SRR11904434" 2018.58356164384 2018.58356164384
"SRR11904771" 2018.58356164384 2018.58356164384
"SRR11904908" 2018.83287671233 2018.83287671233
"SRR11904853" 2018.75068493151 2018.75068493151
"SRR16999591" 2019.74794520548 2019.8301369863
"SRR9985730" 2017 2018
"SRR16644328" 2019.08493150685 2019.16164383562
"SRR16644154" 2019 2019.08493150685
"SRR8833422" 2018.00273972603 2018.00273972603
"SRR9985686" 2017 2018
"SRR8172044" 2018.00273972603 2018.00273972603
"SRR16999482" 2019.8301369863 2019.91506849315
"SRR9985896" 2017 2018
"SRR9985798" 2017 2018
"SRR11904236" 2018.08767123288 2018.08767123288
"SRR8172098" 2018.08767123288 2018.08767123288
"SRR8071103" 2016 2017
"SRR8071031" 2015 2016
"SRR16644143" 2019.49589041096 2019.58082191781
"SRR11904687" 2018.08767123288 2018.08767123288
"SRR16644647" 2019.49589041096 2019.58082191781
"SRR11904058" 2018.24931506849 2018.24931506849
"SRR11904374" 2018.66575342466 2018.66575342466
"SRR11904527" 2018.41643835616 2018.41643835616
"SRR11904604" 2018.91780821918 2018.91780821918
"SRR16644197" 2019.24657534247 2019.32876712329
"SRR11904387" 2018.58356164384 2018.58356164384
"SRR16644080" 2019.08493150685 2019.16164383562
"SRR16644239" 2019.24657534247 2019.32876712329
"SRR11904315" 2018.66575342466 2018.66575342466
"SRR11904805" 2018.91780821918 2018.91780821918
"SRR16643916" 2019 2019.08493150685
"SRR16644174" 2019.24657534247 2019.32876712329
"SRR11904386" 2018.58356164384 2018.58356164384
"SRR11904422" 2018.58356164384 2018.58356164384
"SRR12612341" 2019.8301369863 2019.91506849315
"SRR11904112" 2018.16438356164 2018.16438356164
"SRR16644485" 2019.32876712329 2019.41369863014
"SRR16644073" 2019.08493150685 2019.16164383562
"SRR16644418" 2019.66301369863 2019.74794520548
"SRR16999562" 2019.8301369863 2019.91506849315
"SRR17188736" 2019.91506849315 2019.99726027397
"SRR9985750" 2017 2018
"SRR11904864" 2018.08767123288 2018.08767123288
"SRR11904859" 2018.75068493151 2018.75068493151
"SRR16999666" 2019.91506849315 2019.99726027397
"SRR16999333" 2019.58082191781 2019.66301369863
"SRR11904901" 2018.83287671233 2018.83287671233
"SRR16644375" 2019.49589041096 2019.58082191781
"SRR16644190" 2019.32876712329 2019.41369863014
