"Lower" "Upper"
"SRR11724397" 2019.16164383562 2019.24657534247
"SRR16999588" 2019.74794520548 2019.8301369863
"SRR9877776" 2018.41643835616 2018.41643835616
"SRR11724314" 2019.08493150685 2019.16164383562
"SRR9877940" 2018.24931506849 2018.24931506849
"GCGS0850" 2013 2014
"SRR5235227" 2016 2017
"SRR8079770" 2016 2017
"GCGS0258" 2002 2003
"GCGS0259" 2003 2004
"GCGS0260" 2003 2004
"GCGS0302" 2002 2003
"GCGS0521" 2002 2003
"GCGS0427" 2013 2014
"GCGS0492" 2004 2005
"GCGS0685" 2004 2005
"GCGS0687" 2004 2005
"GCGS0310" 2004 2005
"GCGS0703" 2000 2001
"GCGS1096" 2001 2002
"GCGS0273" 2000 2001
"GCGS0525" 2000 2001
"GCGS0529" 2003 2004
"GCGS0390" 2004 2005
"SRR8171996" 2017 2018
"SRR8171971" 2017 2018
"SRR8088161" 2016 2017
"SRR8088172" 2016 2017
"SRR9985871" 2017 2018
"SRR8079731" 2016 2017
"SRR8079732" 2016 2017
"SRR7401677" 2016 2017
"SRR9985840" 2017 2018
"SRR9985866" 2017 2018
"SRR8088179" 2016 2017
"SRR7401669" 2016 2017
"SRR8079763" 2016 2017
"SRR8071355" 2015 2016
"GCGS0441" 2002 2003
"SRR11903919" 2018.00273972603 2018.00273972603
"SRR11904056" 2018.24931506849 2018.24931506849
"SRR16999592" 2019.74794520548 2019.8301369863
"SRR11904808" 2018.91780821918 2018.91780821918
"SRR11903951" 2018.41643835616 2018.41643835616
"SRR11904060" 2018.24931506849 2018.24931506849
"SRR11904054" 2018.24931506849 2018.24931506849
"SRR16999614" 2019.66301369863 2019.74794520548
"GCGS0395" 2012 2013
"SRR9985658" 2017 2018
"SRR11903983" 2018.24931506849 2018.24931506849
"SRR9985791" 2017 2018
"SRR8071054" 2016 2017
"SRR8071133" 2015 2016
"SRR9877866" 2018.66575342466 2018.66575342466
"SRR11903889" 2018.49863013699 2018.49863013699
"SRR11904418" 2018.58356164384 2018.58356164384
"SRR8833513" 2018.33150684932 2018.33150684932
"SRR8172171" 2018.00273972603 2018.00273972603
"SRR11904355" 2018.66575342466 2018.66575342466
"SRR16644700" 2019.16164383562 2019.24657534247
"SRR11904940" 2018.24931506849 2018.24931506849
"SRR16644001" 2019.16164383562 2019.24657534247
"SRR9985600" 2017 2018
"SRR9985763" 2017 2018
"SRR11903891" 2018.49863013699 2018.49863013699
"SRR11903904" 2018.41643835616 2018.41643835616
"SRR11904123" 2018.16438356164 2018.16438356164
"SRR16644439" 2019.66301369863 2019.74794520548
"SRR16999354" 2019.91506849315 2019.99726027397
"SRR16999457" 2019.8301369863 2019.91506849315
"SRR16644489" 2019.08493150685 2019.16164383562
"SRR11903903" 2018.41643835616 2018.41643835616
"SRR11904125" 2018.16438356164 2018.16438356164
"SRR11904622" 2018.58356164384 2018.58356164384
"SRR11903929" 2018.41643835616 2018.41643835616
"SRR9985666" 2017 2018
"SRR9985670" 2017 2018
"SRR9985905" 2017 2018
"SRR11903863" 2018.00273972603 2018.00273972603
"SRR16644662" 2019.49589041096 2019.58082191781
"SRR8071245" 2016 2017
"SRR8071296" 2016 2017
"SRR8833661" 2018.16438356164 2018.16438356164
"SRR16643940" 2019.66301369863 2019.74794520548
"SRR16644427" 2019.66301369863 2019.74794520548
"SRR8088094" 2014 2015
"SRR5990365" 2014 2015
"SRR9985764" 2017 2018
"SRR16999567" 2019.16164383562 2019.24657534247
"SRR12612796" 2019.91506849315 2019.99726027397
"SRR11903928" 2018.41643835616 2018.41643835616
"SRR11904004" 2018.33150684932 2018.33150684932
"SRR11904365" 2018.66575342466 2018.66575342466
"SRR11904510" 2018.66575342466 2018.66575342466
"SRR16999364" 2019.74794520548 2019.8301369863
"SRR16999673" 2019.91506849315 2019.99726027397
"SRR8833515" 2018.24931506849 2018.24931506849
"SRR12612486" 2019.66301369863 2019.74794520548
"SRR11904484" 2018.33150684932 2018.33150684932
"SRR11904934" 2018.75068493151 2018.75068493151
"SRR9985914" 2017 2018
"SRR16644064" 2019.24657534247 2019.32876712329
"SRR16644128" 2019.58082191781 2019.66301369863
"SRR16999458" 2019.8301369863 2019.91506849315
"SRR16999485" 2019.8301369863 2019.91506849315
"SRR16999439" 2019.08493150685 2019.16164383562
"SRR11724497" 2019.32876712329 2019.41369863014
"SRR9985918" 2017 2018
"SRR9985601" 2017 2018
"SRR9985890" 2017 2018
"SRR8071267" 2015 2016
"SRR11904049" 2018.24931506849 2018.24931506849
"SRR8071294" 2016 2017
"GCGS0500" 2000 2001
"GCGS0268" 2003 2004
"GCGS0345" 2010 2011
"GCGS0443" 2004 2005
"GCGS0293" 2000 2001
"GCGS0282" 2004 2005
"GCGS0290" 2006 2007
"GCGS0280" 2004 2005
"GCGS0284" 2005 2006
"GCGS1048" 2007 2008
"GCGS0387" 2004 2005
"GCGS0283" 2004 2005
"GCGS0386" 2003 2004
"GCGS0311" 2005 2006
"SRR11904001" 2018.33150684932 2018.33150684932
"SRR8172041" 2018.00273972603 2018.00273972603
"SRR11724217" 2019 2019.08493150685
"SRR9985723" 2017 2018
"SRR9985797" 2017 2018
"GCGS1076" 2007 2008
"SRR9985903" 2017 2018
"SRR5990477" 2016 2017
"SRR11903845" 2018.49863013699 2018.49863013699
"SRR11903846" 2018.49863013699 2018.49863013699
"SRR11904500" 2018.83287671233 2018.83287671233
"SRR16644565" 2019 2019.08493150685
"SRR11904005" 2018.33150684932 2018.33150684932
"SRR16644332" 2019.08493150685 2019.16164383562
"SRR16999674" 2019.8301369863 2019.91506849315
"SRR11904210" 2018.75068493151 2018.75068493151
"SRR11904044" 2018.24931506849 2018.24931506849
"SRR11904209" 2018.75068493151 2018.75068493151
"SRR11904735" 2018.91780821918 2018.91780821918
"SRR16644231" 2019.24657534247 2019.32876712329
"SRR11904226" 2018.75068493151 2018.75068493151
"SRR16644487" 2019.32876712329 2019.41369863014
"GCGS0292" 2006 2007
"SRR9985931" 2017 2018
"SRR11904081" 2018.24931506849 2018.24931506849
"SRR11698448" 2019.32876712329 2019.41369863014
"SRR16999700" 2019.74794520548 2019.8301369863
"SRR11904229" 2018.83287671233 2018.83287671233
"SRR11904332" 2018.66575342466 2018.66575342466
"SRR16644324" 2019.16164383562 2019.24657534247
"SRR11904300" 2018.75068493151 2018.75068493151
"SRR8903160" 2018.33150684932 2018.33150684932
"SRR8833488" 2018.16438356164 2018.16438356164
"SRR8833602" 2018.08767123288 2018.08767123288
"SRR8833591" 2018.00273972603 2018.00273972603
"SRR8172313" 2018.00273972603 2018.00273972603
"SRR11904755" 2018.24931506849 2018.24931506849
"SRR11904659" 2018.41643835616 2018.41643835616
"SRR11904472" 2018.16438356164 2018.16438356164
"SRR11904473" 2018.16438356164 2018.16438356164
"SRR16999543" 2019.66301369863 2019.74794520548
"SRR16644576" 2019.41369863014 2019.49589041096
"SRR9985598" 2017 2018
"SRR16644276" 2019.58082191781 2019.66301369863
"SRR11904140" 2018.00273972603 2018.00273972603
"SRR11904591" 2018.58356164384 2018.58356164384
"SRR16644566" 2019 2019.08493150685
"SRR16644195" 2019.24657534247 2019.32876712329
"SRR16644450" 2019.16164383562 2019.24657534247
"SRR16999438" 2019 2019.08493150685
"SRR11904905" 2018.83287671233 2018.83287671233
"SRR11904625" 2018.41643835616 2018.41643835616
